Day,StartTime,EndTime,Course,Group,Room
FRIDAY,11:50,13:30,Big Data Technology,AIML 4.1,JL3
FRIDAY,17:30,19:10,Big Data Technology,AIML 4.2,KFL01
THURSDAY,09:50,11:30,Big Data Technology,AIML 4.3,JL3
WEDNESDAY,08:00,09:40,Data Visualization using Python (Professional Elective III),AIML 4.1,KFL01
SATURDAY,17:30,19:10,Data Visualization using Python (Professional Elective III),AIML 4.1,KFR03
TUESDAY,13:50,15:30,Data Visualization using Python (Professional Elective III),AIML 4.2,TLFL4
FRIDAY,13:50,15:30,Data Visualization using Python (Professional Elective III),AIML 4.2,JL2
TUESDAY,08:00,09:40,Data Visualization using Python (Professional Elective III),AIML 4.3,KFL03
SATURDAY,15:50,17:30,Data Visualization using Python (Professional Elective III),AIML 4.3,TLFL4
