Resource,Type,Name,Block,Capacity,IsLab,Usage
Room,ABlock_A310,A310,A Block,70,No,0
Room,CBlock_143,143,C Block,35,Yes,0
Room,CBlock_151,151,C Block,35,Yes,0
Room,KBlock_KFL01,KFL01,K Block,35,Yes,0
Room,CBlock_144,144,C Block,35,Yes,0
Room,Techlounge_TLFR3,TLFR3,Techlounge,35,Yes,0
Room,CBlock_211,211,C Block,35,Yes,0
Room,BBlock_B412,B412,B Block,70,No,0
Room,BBlock_125,125,B Block,35,Yes,0
Room,KBlock_KSL03,KSL03,K Block,140,Yes,0
Room,ABlock_A202,A202,A Block,70,No,0
Room,ABlock_A102,A102,A Block,70,No,0
Room,DBlock_221,221,D Block,35,Yes,0
Room,BBlock_136,136,B Block,35,Yes,0
Room,KBlock_KFR03,KFR03,K Block,35,Yes,0
Room,DBlock_156,156,D Block,35,Yes,0
Room,BBlock_B403,B403,B Block,70,No,0
Room,BBlock_B212,B212,B Block,70,No,0
Room,BBlock_B213,B213,B Block,70,No,0
Room,BBlock_B417,B417,B Block,70,No,0
Room,DBlock_215,215,D Block,35,Yes,0
Room,DBlock_223,223,D Block,35,Yes,0
Room,BBlock_B320,B320,B Block,70,No,0
Room,ABlock_A203,A203,A Block,70,No,0
Room,DBlock_220,220,D Block,35,Yes,0
Room,BBlock_B219,B219,B Block,70,No,0
Room,CBlock_VM01,VM01,C Block,35,Yes,0
Room,BBlock_120,120,B Block,35,Yes,0
Room,BBlock_130,130,B Block,35,Yes,0
Room,BBlock_137,137,B Block,35,Yes,0
Room,BBlock_135,135,B Block,35,Yes,0
Room,CBlock_149,149,C Block,35,Yes,0
Room,BBlock_B221,B221,B Block,70,No,0
Room,BBlock_B416,B416,B Block,70,No,0
Room,ABlock_A109,A109,A Block,70,No,0
Room,JBlock_JL3,JL3,J Block,35,Yes,0
Room,CBlock_210,210,C Block,35,Yes,0
Room,Techlounge_TLFL4,TLFL4,Techlounge,35,Yes,0
Room,DBlock_218,218,D Block,35,Yes,0
Room,BBlock_140,140,B Block,10,Yes,0
Room,BBlock_B418,B418,B Block,70,No,0
Room,BBlock_B405,B405,B Block,70,No,0
Room,BBlock_B211,B211,B Block,70,No,0
Room,CBlock_C102,C102,C Block,70,No,0
Room,Techlounge_TLFL1,TLFL1,Techlounge,35,Yes,0
Room,ABlock_A205,A205,A Block,70,No,0
Room,BBlock_191,191,B Block,35,Yes,0
Room,BBlock_B325,B325,B Block,70,No,0
Room,CBlock_C202,C202,C Block,70,No,0
Room,KBlock_KFL02,KFL02,K Block,35,Yes,0
Room,KBlock_KFL03,KFL03,K Block,35,Yes,0
Room,DBlock_225,225,D Block,35,Yes,0
Room,DBlock_155,155,D Block,35,Yes,0
Room,CBlock_C302,C302,C Block,70,No,0
Room,Techlounge_TLGL2,TLGL2,Techlounge,70,Yes,0
Room,CBlock_214,214,C Block,35,Yes,0
Room,ABlock_A303,A303,A Block,70,No,0
Room,ABlock_A302,A302,A Block,70,No,0
Room,Techlounge_TLFL3,TLFL3,Techlounge,35,Yes,0
Room,ABlock_A103,A103,A Block,70,No,0
Room,JBlock_JR2,JR2,J Block,35,Yes,0
Room,DBlock_153,153,D Block,35,Yes,0
Room,BBlock_B409,B409,B Block,70,No,0
Room,BBlock_B107,B107,B Block,70,No,0
Room,Techlounge_TLFR5,TLFR5,Techlounge,35,Yes,0
Room,CBlock_147,147,C Block,35,Yes,0
Room,DBlock_157,157,D Block,35,Yes,0
Room,Techlounge_TLGL3,TLGL3,Techlounge,35,Yes,0
Room,DBlock_154,154,D Block,35,Yes,0
Room,DBlock_226,226,D Block,35,Yes,0
Room,CBlock_205,205,C Block,70,Yes,0
Room,Techlounge_TLFR4,TLFR4,Techlounge,35,Yes,0
TimeSlot,TS-9,MONDAY 16:00-16:50,MONDAY,0,Theory,0
TimeSlot,TS-LAB-98,SATURDAY 09:50-11:30 (Lab),SATURDAY,1,Lab,0
TimeSlot,TS-77,FRIDAY 16:00-16:50,FRIDAY,0,Theory,0
TimeSlot,TS-10,MONDAY 17:00-17:50,MONDAY,0,Theory,0
TimeSlot,TS-LAB-48,WEDNESDAY 11:50-13:30 (Lab),WEDNESDAY,1,Lab,0
TimeSlot,TS-28,TUESDAY 18:00-18:50,TUESDAY,0,Theory,0
TimeSlot,TS-90,SATURDAY 12:00-12:50,SATURDAY,0,Theory,0
TimeSlot,TS-19,TUESDAY 09:00-09:50,TUESDAY,0,Theory,0
TimeSlot,TS-43,WEDNESDAY 16:00-16:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-52,THURSDAY 08:00-08:50,THURSDAY,0,Theory,0
TimeSlot,TS-40,WEDNESDAY 13:00-13:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-LAB-47,WEDNESDAY 09:50-11:30 (Lab),WEDNESDAY,1,Lab,0
TimeSlot,TS-22,TUESDAY 12:00-12:50,TUESDAY,0,Theory,0
TimeSlot,TS-LAB-68,THURSDAY 17:30-19:10 (Lab),THURSDAY,1,Lab,0
TimeSlot,TS-74,FRIDAY 13:00-13:50,FRIDAY,0,Theory,0
TimeSlot,TS-89,SATURDAY 11:00-11:50,SATURDAY,0,Theory,0
TimeSlot,TS-LAB-99,SATURDAY 11:50-13:30 (Lab),SATURDAY,1,Lab,0
TimeSlot,TS-24,TUESDAY 14:00-14:50,TUESDAY,0,Theory,0
TimeSlot,TS-23,TUESDAY 13:00-13:50,TUESDAY,0,Theory,0
TimeSlot,TS-LAB-50,WEDNESDAY 15:50-17:30 (Lab),WEDNESDAY,1,Lab,0
TimeSlot,TS-54,THURSDAY 10:00-10:50,THURSDAY,0,Theory,0
TimeSlot,TS-58,THURSDAY 14:00-14:50,THURSDAY,0,Theory,0
TimeSlot,TS-1,MONDAY 08:00-08:50,MONDAY,0,Theory,0
TimeSlot,TS-LAB-32,TUESDAY 13:50-15:30 (Lab),TUESDAY,1,Lab,0
TimeSlot,TS-11,MONDAY 18:00-18:50,MONDAY,0,Theory,0
TimeSlot,TS-38,WEDNESDAY 11:00-11:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-4,MONDAY 11:00-11:50,MONDAY,0,Theory,0
TimeSlot,TS-56,THURSDAY 12:00-12:50,THURSDAY,0,Theory,0
TimeSlot,TS-27,TUESDAY 17:00-17:50,TUESDAY,0,Theory,0
TimeSlot,TS-7,MONDAY 14:00-14:50,MONDAY,0,Theory,0
TimeSlot,TS-42,WEDNESDAY 15:00-15:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-36,WEDNESDAY 09:00-09:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-20,TUESDAY 10:00-10:50,TUESDAY,0,Theory,0
TimeSlot,TS-45,WEDNESDAY 18:00-18:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-39,WEDNESDAY 12:00-12:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-LAB-66,THURSDAY 13:50-15:30 (Lab),THURSDAY,1,Lab,0
TimeSlot,TS-LAB-30,TUESDAY 09:50-11:30 (Lab),TUESDAY,1,Lab,0
TimeSlot,TS-18,TUESDAY 08:00-08:50,TUESDAY,0,Theory,0
TimeSlot,TS-LAB-97,SATURDAY 08:00-09:40 (Lab),SATURDAY,1,Lab,0
TimeSlot,TS-LAB-84,FRIDAY 15:50-17:30 (Lab),FRIDAY,1,Lab,0
TimeSlot,TS-94,SATURDAY 16:00-16:50,SATURDAY,0,Theory,0
TimeSlot,TS-41,WEDNESDAY 14:00-14:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-3,MONDAY 10:00-10:50,MONDAY,0,Theory,0
TimeSlot,TS-87,SATURDAY 09:00-09:50,SATURDAY,0,Theory,0
TimeSlot,TS-LAB-49,WEDNESDAY 13:50-15:30 (Lab),WEDNESDAY,1,Lab,0
TimeSlot,TS-76,FRIDAY 15:00-15:50,FRIDAY,0,Theory,0
TimeSlot,TS-69,FRIDAY 08:00-08:50,FRIDAY,0,Theory,0
TimeSlot,TS-LAB-17,MONDAY 17:30-19:10 (Lab),MONDAY,1,Lab,0
TimeSlot,TS-71,FRIDAY 10:00-10:50,FRIDAY,0,Theory,0
TimeSlot,TS-LAB-34,TUESDAY 17:30-19:10 (Lab),TUESDAY,1,Lab,0
TimeSlot,TS-72,FRIDAY 11:00-11:50,FRIDAY,0,Theory,0
TimeSlot,TS-92,SATURDAY 14:00-14:50,SATURDAY,0,Theory,0
TimeSlot,TS-LAB-82,FRIDAY 11:50-13:30 (Lab),FRIDAY,1,Lab,0
TimeSlot,TS-LAB-80,FRIDAY 08:00-09:40 (Lab),FRIDAY,1,Lab,0
TimeSlot,TS-73,FRIDAY 12:00-12:50,FRIDAY,0,Theory,0
TimeSlot,TS-LAB-67,THURSDAY 15:50-17:30 (Lab),THURSDAY,1,Lab,0
TimeSlot,TS-LAB-31,TUESDAY 11:50-13:30 (Lab),TUESDAY,1,Lab,0
TimeSlot,TS-LAB-29,TUESDAY 08:00-09:40 (Lab),TUESDAY,1,Lab,0
TimeSlot,TS-79,FRIDAY 18:00-18:50,FRIDAY,0,Theory,0
TimeSlot,TS-6,MONDAY 13:00-13:50,MONDAY,0,Theory,0
TimeSlot,TS-78,FRIDAY 17:00-17:50,FRIDAY,0,Theory,0
TimeSlot,TS-86,SATURDAY 08:00-08:50,SATURDAY,0,Theory,0
TimeSlot,TS-LAB-13,MONDAY 09:50-11:30 (Lab),MONDAY,1,Lab,0
TimeSlot,TS-62,THURSDAY 18:00-18:50,THURSDAY,0,Theory,0
TimeSlot,TS-LAB-12,MONDAY 08:00-09:40 (Lab),MONDAY,1,Lab,0
TimeSlot,TS-44,WEDNESDAY 17:00-17:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-57,THURSDAY 13:00-13:50,THURSDAY,0,Theory,0
TimeSlot,TS-5,MONDAY 12:00-12:50,MONDAY,0,Theory,0
TimeSlot,TS-21,TUESDAY 11:00-11:50,TUESDAY,0,Theory,0
TimeSlot,TS-LAB-65,THURSDAY 11:50-13:30 (Lab),THURSDAY,1,Lab,0
TimeSlot,TS-60,THURSDAY 16:00-16:50,THURSDAY,0,Theory,0
TimeSlot,TS-91,SATURDAY 13:00-13:50,SATURDAY,0,Theory,0
TimeSlot,TS-96,SATURDAY 18:00-18:50,SATURDAY,0,Theory,0
TimeSlot,TS-LAB-102,SATURDAY 17:30-19:10 (Lab),SATURDAY,1,Lab,0
TimeSlot,TS-35,WEDNESDAY 08:00-08:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-LAB-85,FRIDAY 17:30-19:10 (Lab),FRIDAY,1,Lab,0
TimeSlot,TS-61,THURSDAY 17:00-17:50,THURSDAY,0,Theory,0
TimeSlot,TS-93,SATURDAY 15:00-15:50,SATURDAY,0,Theory,0
TimeSlot,TS-LAB-100,SATURDAY 13:50-15:30 (Lab),SATURDAY,1,Lab,0
TimeSlot,TS-LAB-64,THURSDAY 09:50-11:30 (Lab),THURSDAY,1,Lab,0
TimeSlot,TS-75,FRIDAY 14:00-14:50,FRIDAY,0,Theory,0
TimeSlot,TS-LAB-81,FRIDAY 09:50-11:30 (Lab),FRIDAY,1,Lab,0
TimeSlot,TS-37,WEDNESDAY 10:00-10:50,WEDNESDAY,0,Theory,0
TimeSlot,TS-25,TUESDAY 15:00-15:50,TUESDAY,0,Theory,0
TimeSlot,TS-59,THURSDAY 15:00-15:50,THURSDAY,0,Theory,0
TimeSlot,TS-88,SATURDAY 10:00-10:50,SATURDAY,0,Theory,0
TimeSlot,TS-53,THURSDAY 09:00-09:50,THURSDAY,0,Theory,0
TimeSlot,TS-95,SATURDAY 17:00-17:50,SATURDAY,0,Theory,0
TimeSlot,TS-55,THURSDAY 11:00-11:50,THURSDAY,0,Theory,0
TimeSlot,TS-2,MONDAY 09:00-09:50,MONDAY,0,Theory,0
TimeSlot,TS-LAB-15,MONDAY 13:50-15:30 (Lab),MONDAY,1,Lab,0
TimeSlot,TS-LAB-33,TUESDAY 15:50-17:30 (Lab),TUESDAY,1,Lab,0
TimeSlot,TS-LAB-46,WEDNESDAY 08:00-09:40 (Lab),WEDNESDAY,1,Lab,0
TimeSlot,TS-LAB-51,WEDNESDAY 17:30-19:10 (Lab),WEDNESDAY,1,Lab,0
TimeSlot,TS-26,TUESDAY 16:00-16:50,TUESDAY,0,Theory,0
TimeSlot,TS-LAB-16,MONDAY 15:50-17:30 (Lab),MONDAY,1,Lab,0
TimeSlot,TS-LAB-14,MONDAY 11:50-13:30 (Lab),MONDAY,1,Lab,0
TimeSlot,TS-70,FRIDAY 09:00-09:50,FRIDAY,0,Theory,0
TimeSlot,TS-LAB-63,THURSDAY 08:00-09:40 (Lab),THURSDAY,1,Lab,0
TimeSlot,TS-8,MONDAY 15:00-15:50,MONDAY,0,Theory,0
TimeSlot,TS-LAB-101,SATURDAY 15:50-17:30 (Lab),SATURDAY,1,Lab,0
TimeSlot,TS-LAB-83,FRIDAY 13:50-15:30 (Lab),FRIDAY,1,Lab,0
