Resource,Type,Name,Block,Capacity,IsLab,Usage
Room,BBlock_B410,B410,B Block,70,No,0
Room,BBlock_119,119,B Block,35,Yes,0
Room,BBlock_B425,B425,B Block,70,No,0
Room,CBlock_212,212,C Block,35,Yes,0
Room,BBlock_121,121,B Block,35,Yes,0
Room,CBlock_209,209,C Block,70,Yes,0
Room,BBlock_127,127,B Block,35,Yes,0
Room,ABlock_A309,A309,A Block,70,No,0
Room,BBlock_B424,B424,B Block,70,No,0
Room,CBlock_C308,C308,C Block,70,No,0
Room,CBlock_204,204,C Block,70,Yes,0
Room,ABlock_A311,A311,A Block,70,No,0
Room,BBlock_138,138,B Block,35,Yes,0
Room,BBlock_115,115,B Block,35,Yes,0
Room,CBlock_208,208,C Block,70,Yes,0
Room,CBlock_CH01,CH01,C Block,35,Yes,0
Room,BBlock_B422,B422,B Block,70,No,0
Room,BBlock_B426,B426,B Block,70,No,0
Room,CBlock_C101,C101,C Block,70,No,0
Room,BBlock_126,126,B Block,35,Yes,0
Room,ABlock_A308,A308,A Block,70,No,0
Room,Techlounge_TLFL2,TLFL2,Techlounge,35,Yes,0
Room,JBlock_JR3,JR3,J Block,35,Yes,0
Room,ABlock_A104/105,A104/105,A Block,140,No,0
Room,BBlock_134,134,B Block,35,Yes,0
Room,CBlock_146,146,C Block,35,Yes,0
Room,BBlock_118,118,B Block,35,Yes,0
Room,CBlock_202,202,C Block,35,Yes,0
Room,BBlock_B402,B402,B Block,70,No,0
Room,BBlock_129,129,B Block,35,Yes,0
Room,BBlock_B404,B404,B Block,70,No,0
Room,ABlock_A204,A204,A Block,70,No,0
Room,BBlock_113,113,B Block,35,Yes,0
Room,DBlock_217,217,D Block,35,Yes,0
Room,BBlock_116,116,B Block,35,Yes,0
Room,Techlounge_TLFL5,TLFL5,Techlounge,35,Yes,0
Room,ABlock_A211,A211,A Block,70,No,0
Room,CBlock_203,203,C Block,35,Yes,0
Room,BBlock_B218,B218,B Block,70,No,0
Room,CBlock_150,150,C Block,35,Yes,0
Room,BBlock_B419,B419,B Block,70,No,0
Room,KBlock_KFR01,KFR01,K Block,35,Yes,0
Room,CBlock_206,206,C Block,70,Yes,0
Room,CBlock_207,207,C Block,35,Yes,0
Room,CBlock_C108,C108,C Block,30,No,0
Room,ABlock_A304,A304,A Block,70,No,0
Room,BBlock_133,133,B Block,35,Yes,0
Room,BBlock_B411,B411,B Block,70,No,0
Room,ABlock_A110,A110,A Block,70,No,0
Room,JBlock_JL1,JL1,J Block,35,Yes,0
Room,CBlock_AC01,AC01,C Block,35,Yes,0
Room,CBlock_213,213,C Block,35,Yes,0
Room,BBlock_B321,B321,B Block,70,No,0
Room,BBlock_123,123,B Block,35,Yes,0
Room,CBlock_148,148,C Block,35,Yes,0
Room,ABlock_A208,A208,A Block,70,No,0
Room,DBlock_222,222,D Block,35,Yes,0
Room,Techlounge_TLFR1,TLFR1,Techlounge,35,Yes,0
Room,BBlock_B302,B302,B Block,70,No,0
Room,BBlock_B222,B222,B Block,70,No,0
Room,Techlounge_TLGL1,TLGL1,Techlounge,70,Yes,0
Room,CBlock_C307,C307,C Block,70,No,0
Room,BBlock_B322,B322,B Block,70,No,0
Room,CBlock_145,145,C Block,35,Yes,0
Room,BBlock_B408,B408,B Block,70,No,0
Room,BBlock_B210,B210,B Block,70,No,0
Room,DBlock_216,216,D Block,35,Yes,0
Room,ABlock_A108,A108,A Block,70,No,0
Room,DBlock_224,224,D Block,35,Yes,0
Room,ABlock_A210,A210,A Block,70,No,0
Room,BBlock_B106,B106,B Block,70,No,0
Room,BBlock_B220,B220,B Block,70,No,0
Room,BBlock_122,122,B Block,35,Yes,0
Room,BBlock_B415,B415,B Block,70,No,0
Room,BBlock_124,124,B Block,35,Yes,0
Room,DBlock_152,152,D Block,35,Yes,0
Room,BBlock_114,114,B Block,35,Yes,0
Room,Techlounge_TLFR2,TLFR2,Techlounge,35,Yes,0
Room,BBlock_117,117,B Block,35,Yes,0
Room,BBlock_132,132,B Block,35,Yes,0
Room,BBlock_139,139,B Block,35,Yes,0
Room,JBlock_JL2,JL2,J Block,35,Yes,0
Room,CBlock_C103,C103,C Block,70,No,0
Room,CBlock_142,142,C Block,35,Yes,0
Room,ABlock_A305,A305,A Block,70,No,0
Room,BBlock_141,141,B Block,35,Yes,0
Room,KBlock_KFR02,KFR02,K Block,35,Yes,0
Room,BBlock_128,128,B Block,35,Yes,0
Room,DBlock_219,219,D Block,35,Yes,0
Room,Techlounge_TLGL4,TLGL4,Techlounge,35,Yes,0
Room,JBlock_JR1,JR1,J Block,35,Yes,0
Room,CBlock_C201,C201,C Block,70,No,0
Room,BBlock_131,131,B Block,35,Yes,0
Room,CBlock_C301,C301,C Block,70,No,0
Room,BBlock_B423,B423,B Block,70,No,0
Room,ABlock_A209,A209,A Block,70,No,0
Room,BBlock_B401,B401,B Block,70,No,0
